"Median_house_value","Median_household_income","Mean_household_income","POPULATION","Total_units","Vacant_units","Owners","Median_rooms","Mean_household_size_owners","Mean_household_size_renters","LATITUDE","LONGITUDE"
354500,47261,59933,5816,1758,127,21.8,3.8,3.23,3.72,33.836612,-117.954608
414200,60967,72784,8470,2452,139,53,5.2,3.61,3.91,33.825304,-117.948625
438300,58589,67686,4635,1511,42,43.1,4.5,3.69,2.84,33.826002,-117.935535
407500,45427,63054,5097,1397,105,47.3,4.9,4.13,3.25,33.819782,-117.933034
465800,44653,60678,7643,2582,54,37.1,4,3.1,2.52,33.834452,-117.927241
468700,43468,51318,10413,3039,275,17.1,3.6,3.36,3.68,33.836426,-117.908905
427700,90221,87100,3954,1026,14,76.9,5.4,3.89,3.78,33.828109,-117.914881
308400,53563,58422,3186,756,107,49.5,4.1,5.63,4.21,33.814064,-117.909962
331400,43864,52280,3591,814,34,24.5,4.1,4.96,4.74,33.825318,-117.90896
338100,42299,50835,5912,1518,77,21.4,3.9,4.5,4.4,33.821552,-117.913698
432800,49679,63644,6808,1913,118,38.4,4.2,3.39,3.85,33.799169,-117.918162
338300,41218,54559,7141,1829,251,14.9,4.1,4.26,4.68,33.797418,-117.902753
340800,39932,62259,5222,1475,24,45.3,4.3,3.08,3.71,33.810205,-117.930498
423900,51758,61398,4808,1502,98,33.5,3.8,3.38,3.04,33.815082,-117.939889
428700,74709,80142,7722,2278,120,58.1,5.2,3.64,3.89,33.804806,-117.941129
421800,59583,64543,5323,1723,114,56.4,4.9,3.66,2.82,33.821036,-117.959529
432100,56778,69257,6246,1463,91,60.6,5.1,4.14,4.16,33.811305,-117.963625
379300,81100,90977,5061,1400,52,69.4,5.1,3.7,3.11,33.811046,-117.955078
392200,55155,72000,5337,1731,69,61.2,4.7,3.22,3.05,33.809608,-118.006512
305400,61225,69163,7146,2392,92,55,4.4,3.14,3.29,33.810488,-117.997896
359700,37140,55751,5658,1487,44,18.4,3.7,4.25,4.21,33.813083,-117.989203
355900,49079,67506,6952,2054,160,38.4,4.2,3.69,3.53,33.810935,-117.979964
376600,43459,57488,5702,1602,166,47.3,4.1,4.46,3.11,33.809631,-117.971997
390300,48990,61654,3638,1201,76,49.9,4.6,4.01,2.4,33.798816,-117.994385
397200,50385,72738,6039,1326,0,53.6,5,4.47,4.33,33.791701,-117.991561
463300,74053,81336,5004,1265,44,69.4,5.6,3.61,3.33,33.7952,-117.980325
502400,66853,83410,3936,1091,60,70.7,5.7,3.44,4.23,33.795513,-117.971506
281000,70625,90214,2078,707,5,77.5,5,2.62,3.58,33.800891,-118.005939
331100,50976,55112,4780,1693,102,40.3,4,2.97,2.73,33.784935,-117.991261
429800,59141,72692,4133,1075,70,76.5,5.7,3.59,3.99,33.784876,-117.976843
203100,58110,68411,4638,1801,38,57.6,4.3,2.52,3.32,33.777451,-117.991527
414600,63534,75047,5866,1618,63,46.4,4.6,3.46,3.98,33.777908,-117.9768
450600,59076,97490,4022,1147,54,70.2,5.3,3.55,3.96,33.797656,-117.963456
425800,80417,92865,3005,883,58,86.2,5.8,3.56,4.37,33.795682,-117.955562
458700,51667,67541,4819,1428,132,50.4,5,3.98,2.67,33.78519,-117.958415
402300,65357,76330,6430,1752,62,66.7,5.3,3.92,4.26,33.796562,-117.946748
529400,76875,92109,6029,1813,123,64.1,5.5,3.26,3.46,33.78826,-117.939677
439500,74938,75263,5317,1316,39,90.8,5.8,3.7,3.75,33.788906,-117.928096
409900,50515,62662,4854,1384,58,42,4.5,4.22,3.28,33.789175,-117.918964
365000,67222,76482,6896,1821,31,62.4,4.9,3.58,3.74,33.789455,-117.910739
395200,57599,70100,6785,1830,109,52.9,4.5,3.92,3.81,33.77434,-117.926253
396000,63403,67273,5249,1364,92,42.1,4.6,3.7,3.33,33.778006,-117.915167
350500,55510,66550,6305,2172,118,49.6,4.1,3.35,2.45,33.773928,-117.944563
363300,61743,73033,4433,1350,42,50.6,4.8,3.45,3.75,33.774653,-117.934232
385800,50703,62259,6067,1949,76,32.8,3.9,3.48,3.46,33.77758,-117.957248
396300,48534,66383,6107,1470,98,49.8,4.7,3.93,3.92,33.770383,-117.957146
420000,48274,64847,8343,2646,204,31.6,4.2,4.09,3.47,33.771342,-117.977327
428400,52983,64308,5551,1500,35,52,5,3.83,4.02,33.765236,-117.979489
421600,50150,66104,6725,1767,74,63.7,4.9,4.08,3.65,33.758682,-117.961745
422000,56335,66757,5143,1213,10,54.5,5,3.95,3.88,33.762633,-117.946179
402600,56816,64516,8585,1986,32,54,5.1,4.35,4.47,33.753128,-117.945159
458800,48851,69670,5766,1465,19,60,5.4,4.35,3.73,33.748797,-117.955177
448300,61494,67148,5282,1398,137,73.1,5.2,3.83,4.4,33.752151,-117.967705
307300,56638,65286,7154,1693,22,64.3,4.9,4.09,4.11,33.751699,-117.933391
403600,49728,58161,4012,885,17,40.9,4.4,5.03,4.4,33.762403,-117.933931
211200,49184,59205,7011,1839,135,62.3,4.5,3.62,5.31,33.751998,-117.924094
346400,49506,66202,7217,1649,0,59,5.1,4.17,4.51,33.76359,-117.907947
78300,36190,46682,5376,1367,67,32,4.3,3.54,4.15,33.757105,-117.909588
393900,60231,65721,6387,1145,43,28.2,4.5,4.47,5.91,33.749447,-117.915628
288900,35865,44469,3973,946,70,48.4,4,3.54,3.91,33.770842,-117.9143
426800,85369,102521,5944,1298,51,81.3,6,4.55,5.51,33.77048,-117.901578
356700,60139,65370,8323,1945,21,73.6,5.1,3.8,4.34,33.734633,-117.926377
446200,74211,81982,6029,1565,11,70.5,5.6,3.75,4.8,33.73848,-117.941697
497300,55714,75036,4729,1424,44,63.3,4.9,3.3,2.44,33.738119,-117.950763
458200,70759,82177,4914,1767,30,46.3,4.8,2.7,2.8,33.708621,-117.984731
481200,70509,83618,3498,1500,89,83.9,5.6,2.39,2.25,33.68353,-117.962751
558000,84034,102080,5203,1941,62,77,5.6,2.67,3.7,33.67557,-117.961158
551300,91635,94206,4000,1501,124,81.3,6,2.92,2.88,33.679478,-117.949635
768100,89375,103405,2354,911,5,80.4,6.8,2.58,2.73,33.663966,-117.951018
535400,85667,88105,5115,2349,267,67.1,4.9,2.44,1.93,33.653207,-117.981584
496500,65242,87586,4733,1561,87,62.6,5.3,3.57,3.38,33.737739,-117.967848
519400,50566,77922,5102,1784,196,46.7,4.1,3.39,2.97,33.738746,-117.958993
637000,93000,97451,3521,1088,0,76.3,6.6,3.21,3.51,33.723658,-117.967102
655900,101410,102149,3348,1042,52,92.4,6.9,3.11,5.4,33.723095,-117.959081
647200,93016,114507,3889,1159,16,87.4,6.9,3.69,3.81,33.724048,-117.93287
514600,59706,73080,5922,2044,66,65.4,5,3.02,3.25,33.724917,-117.922386
585500,74107,86421,6312,2477,7,50.9,5.3,2.85,2.26,33.710242,-117.937196
542000,95494,104130,4358,1538,17,73.9,6.1,2.6,3.58,33.695032,-117.950123
735900,96550,130101,5488,1791,0,91.9,7.4,3.02,3.73,33.694176,-117.973778
610400,87396,110735,5325,1991,44,90,6.6,2.65,3.05,33.694427,-117.961494
642700,90820,121533,3419,1086,33,87.7,6.7,3.14,2.14,33.708243,-117.976139
628800,83628,119408,3466,1211,26,74.9,6.2,2.62,3.03,33.707705,-117.967481
527500,59615,71355,4619,2020,122,44.3,5.1,2.42,2.42,33.693051,-117.98505
665800,98438,105643,3583,1278,57,80.1,6.3,2.92,3.35,33.664991,-117.966571
771800,116198,137008,4031,1412,26,94.9,7.3,2.73,5.26,33.664905,-117.95821
837500,129063,142210,3924,1380,46,89.2,7.1,2.94,3.76,33.647544,-117.966021
790400,78443,103491,5183,2202,88,57.3,5.5,2.46,2.4,33.649283,-117.957797
597100,67331,73157,4274,1691,58,38.9,4.4,3.5,2.15,33.727001,-117.979819
617900,85556,92548,3584,1172,0,59.6,5.6,2.85,3.26,33.719288,-117.980865
596600,89826,106654,4287,1892,5,83.5,5.6,2.44,2.34,33.665445,-117.984442
483600,55567,77655,3730,1990,84,81.5,5,2.06,1.94,33.665307,-117.9754
697600,107148,111510,3035,1098,15,84.9,6.8,2.76,3,33.679826,-117.983667
717100,103864,130659,3614,1278,30,87.1,6.7,2.77,4.45,33.67916,-117.976108
203600,41165,56705,3287,824,15,50.8,4.6,4.38,4.17,33.741307,-117.933103
99500,43028,52910,5290,1439,93,57.4,4.2,3.62,4.23,33.741977,-117.92534
315200,41676,55184,4449,855,22,29.8,4.7,4.63,5.44,33.742153,-117.915563
685600,70968,86417,3062,1107,11,60.9,5.8,2.85,2.44,33.710321,-117.958846
658600,63300,79661,5218,2038,96,30.2,3.7,3.72,2.03,33.711008,-117.949302
553000,55492,69007,7143,3110,103,28.1,4.1,2.31,2.47,33.67896,-117.993455
802200,86504,110419,6028,2856,270,43,4.6,2.48,2.28,33.666054,-117.993969
271400,76538,104100,2502,1469,191,63.2,4.9,1.67,2.31,33.657021,-117.991342
713200,79167,100455,4547,2258,128,57.7,4.8,2.14,1.75,33.676152,-118.002341
972800,95000,124411,4482,2237,259,40.6,4.7,2.43,2.23,33.667702,-118.010543
879900,82813,124063,3598,2054,179,39,4.2,2.23,1.88,33.662142,-118.003053
418800,53690,65682,8090,2163,121,23.6,4.2,3,4.1,33.709608,-117.993371
709100,90824,99331,4505,1791,76,67,6.3,2.88,2.27,33.707983,-118.019214
600600,79917,92846,4468,1767,108,60.9,5.5,2.54,2.96,33.718253,-118.015273
669000,72237,98007,4468,1764,76,62.2,6.4,2.7,2.53,33.726837,-118.017061
633800,79844,102097,2480,964,0,69.6,5.4,2.75,1.75,33.724524,-118.028175
668500,95938,113887,4332,1726,38,77.3,5.6,2.65,2.56,33.722376,-118.037137
644400,54599,82293,4101,1658,54,31.7,4.3,2.4,2.62,33.726315,-117.995393
437500,65522,74730,5500,2270,138,24.5,4,2.3,2.5,33.719058,-117.997429
651400,82125,94382,4630,1948,60,60.6,5.2,2.44,2.34,33.709764,-118.010971
787800,62241,95796,8230,3577,133,55.9,5,2.83,1.67,33.691852,-117.997333
861900,134784,162339,5374,2012,23,89,6.8,2.85,2.41,33.703368,-118.026425
358500,66791,76047,4444,2290,42,21.8,4.1,1.65,2.3,33.718832,-118.046232
678000,72879,108676,4031,2030,151,47.4,4.5,2.56,1.75,33.712925,-118.040052
902700,114398,152016,2746,1048,13,93.4,6.8,2.72,4.07,33.74772,-118.097144
412900,64525,83474,4500,2246,210,55.9,5.1,1.82,2.38,33.724683,-118.048318
195000,28527,41652,3491,3007,402,97,3.8,1.38,1.28,33.769667,-118.082804
155300,28253,38687,4058,3729,760,90.6,3.5,1.25,1.48,33.765308,-118.087725
826500,66840,105298,2868,1740,369,44.1,4.2,2.01,2.15,33.744723,-118.104606
808800,77938,133934,2141,1351,95,80.4,4.8,2.08,1.59,33.719716,-118.069786
990200,104078,157485,5453,2483,142,95.3,6.9,2.19,3.64,33.722292,-118.05999
577000,44750,62953,7016,2048,108,42.2,4.6,3.23,3.39,33.752677,-118.006097
579700,77457,94795,3196,1095,44,65.5,5.7,3.19,2.91,33.751697,-118.020578
580600,80614,98077,6126,2389,0,79.4,6,2.47,3.62,33.750654,-118.034225
622000,98333,101687,3606,1232,56,86.4,6.4,2.81,2.48,33.737055,-118.01977
639400,93438,99599,3690,1353,102,82.3,6.5,2.86,3.01,33.73732,-118.011253
482100,50606,59839,6171,1765,65,51.4,5,3.4,3.44,33.748235,-117.980745
477400,54884,72781,8182,2526,145,61.2,4.9,3.38,3.28,33.741062,-117.984465
559900,77368,98497,4979,1728,50,62.9,5.3,3.63,2.17,33.734304,-117.982307
408400,57750,68151,5816,1613,22,50.7,4.8,3.28,3.39,33.765141,-117.991099
319200,33929,42683,5111,2024,158,17.1,3.6,3.27,2.45,33.757745,-117.99432
438200,45101,61735,5762,1827,54,47.7,4.4,3.61,3.11,33.756061,-117.980011
465400,80202,79880,4486,1368,23,73.3,5.5,3.42,3.34,33.766793,-118.020155
464900,54348,66886,5749,1560,0,49.2,5.3,3.69,4.33,33.765151,-118.011928
436100,37202,51146,6352,1956,83,23.6,4.1,3.36,3.16,33.764802,-118.003729
410500,57750,67195,3053,1394,240,43,4.2,3.01,2.43,33.770773,-118.029831
599000,96411,113890,4866,1721,20,85.2,6.2,2.83,4.09,33.764847,-118.036221
510100,96577,102188,4467,1528,65,78.1,5.6,2.93,3.28,33.789583,-118.034593
499700,79750,86525,3194,1139,32,62.5,5.5,3.53,2.11,33.785321,-118.020773
553900,87589,93279,4703,1682,0,96.1,6.3,2.79,2.85,33.777857,-118.020994
553000,86486,100663,3124,1154,0,91.9,6.3,2.72,2.99,33.780603,-118.037088
797400,102308,130685,2885,1089,27,79.9,6.7,2.75,2.1,33.798285,-118.077434
877400,108750,148016,4799,1710,54,87.1,6.9,2.99,2.82,33.786411,-118.084426
680600,86563,118001,4374,1741,57,84.1,5.8,2.6,2.49,33.781571,-118.078462
569200,111750,114428,4526,1380,0,86.8,6.2,3.33,3.52,33.792307,-118.020191
533100,91103,111281,2832,1094,0,88.5,6.4,2.61,2.74,33.797845,-118.019123
769700,110083,128723,5012,1884,15,88.8,7.2,2.77,2.55,33.777863,-118.053719
398700,70417,74087,4905,1903,77,10.8,4.2,2.51,2.58,33.801075,-118.062895
655700,101051,120311,3548,1235,10,90.4,6.6,2.87,2.74,33.795721,-118.058785
561200,81161,100208,5780,1917,55,80.6,6.1,3.12,2.58,33.841027,-118.044657
594500,71801,91856,6024,2045,54,60.4,5.5,2.95,3.11,33.826411,-118.041509
448800,80563,88221,3577,1227,48,78.1,5.9,3.05,3.04,33.814557,-118.057189
668800,100288,137279,2733,1027,36,66,5.7,2.63,2.57,33.809167,-118.071389
544900,76932,94558,5045,1773,119,62.3,5,2.78,2.78,33.82073,-118.027693
454500,59120,80137,5706,1845,86,55.4,4.7,3.55,3.09,33.831337,-118.030928
546100,80050,101492,5736,1880,115,74.7,5.9,3.16,3.44,33.834239,-118.050586
580100,79583,97057,2276,724,0,77.1,6.1,3.27,2.51,33.808056,-118.020527
539200,93977,99676,4828,1497,0,84.9,6.1,3.14,3.83,33.812991,-118.040961
580100,92273,99783,3613,1266,64,81.3,6.2,2.95,3.05,33.85482,-118.042466
622100,85403,101414,4761,1518,0,68.9,6.7,3.35,3.18,33.848469,-118.04015
514500,81054,90451,5920,2092,83,62.8,5.7,3.03,2.81,33.825226,-118.058978
882900,155789,172869,2668,760,4,95.5,7.8,4.02,3.03,33.820399,-118.049613
414000,58375,71626,7483,2553,64,51.7,4.9,3.27,2.96,33.835345,-118.014998
498800,52191,69543,7762,2471,152,30.5,3.8,3.71,3.14,33.823952,-118.014546
408000,70606,76722,5393,1717,31,71.9,5.2,3.12,3.58,33.813271,-118.018289
493000,67231,86516,6729,2064,100,71.1,5.7,3.26,2.61,33.853489,-118.028722
395400,63393,71564,6033,1626,113,69.1,5.5,3.5,3.93,33.851921,-118.010181
383200,80561,83470,4986,1472,96,77.9,5.5,3.44,2.97,33.843056,-118.010988
464200,98065,98175,4612,1352,0,86.8,6.2,3.2,5.27,33.842508,-118.027932
444000,72150,85725,4953,1370,24,83.9,6,3.34,4.66,33.852202,-117.992651
424500,76738,79538,5459,1400,55,55.8,4.8,3.53,4.36,33.837182,-117.996608
440000,45489,56618,8631,2400,0,28.5,4.3,3.85,3.36,33.863989,-118.004662
456200,42472,65425,8540,2403,77,18.1,4.1,4.08,3.65,33.868813,-117.993004
545200,81154,100618,8117,2586,0,75.9,6.1,3.16,3.27,33.885221,-117.987684
558000,83973,91536,6638,2280,126,65.1,5.3,3.03,3.32,33.886308,-117.96976
427800,48110,59372,4590,1247,83,29.3,4.4,3.88,3.87,33.876769,-118.002312
398200,72683,86053,3845,1322,98,53.9,4.7,3.39,3.91,33.879488,-117.99495
571800,70240,88108,1288,2031,1582,80.4,4.4,2.33,2.85,39.18932,-120.110221
590600,61696,80854,1352,2006,1410,80.2,4.5,1.99,2.81,39.219369,-120.08987
554000,69865,94557,1719,1837,1235,65,4.3,2.61,2.49,39.247664,-120.047211
476800,39286,50675,3510,1955,817,27.9,3.7,2.19,2.77,39.238281,-120.020758
343800,61858,74071,6146,2852,409,82.4,5.2,2.63,2.17,39.002901,-120.866714
287000,38219,53065,4520,2322,75,32.7,4.4,2.27,1.94,38.907366,-121.070731
344100,31042,44806,2129,1091,68,32.5,4.4,1.99,1.81,38.895484,-121.073833
434100,99600,104399,3396,1523,141,77.7,6.3,2.58,2.11,38.880921,-121.072443
435500,68194,87684,2879,1196,35,86.2,6.7,2.68,2.61,38.884547,-121.146962
534300,69444,97047,4103,1900,130,88.7,6.4,2.49,1.78,38.8638,-121.100196
631400,122297,173379,6911,2784,142,94.4,7.5,2.88,4.07,38.769784,-121.145481
612500,87411,139811,6970,2702,138,84.8,6.4,2.65,2.04,38.806448,-121.163153
580200,103750,144832,5589,2213,170,85.5,7,2.78,3.11,38.751125,-121.196388
660200,133750,157014,5826,2032,49,92.6,7.9,2.97,2.64,38.731044,-121.1977
384600,104032,112846,4387,1713,65,88,6.8,2.86,2.34,38.727758,-121.239914
405900,59273,78780,4372,2039,123,39.1,4.7,3.05,1.91,38.738868,-121.237353
281500,42194,65697,3560,1601,263,59.5,5.3,2.58,2.18,38.739595,-121.262861
335500,53684,73406,3222,1396,84,48.3,5,2.66,2.35,38.733089,-121.270957
394600,64977,88786,3660,1502,45,71.6,6.7,2.75,2.57,38.724464,-121.27358
295600,82566,87555,3059,1178,45,65,6.1,2.62,2.64,38.7243,-121.254002
443200,68920,102157,3118,1438,91,54.1,5.1,2.9,1.77,38.751745,-121.236062
296200,63559,74578,3902,1759,109,71.2,5.6,2.26,2.38,38.729237,-121.2943
264300,53288,68220,3494,1680,111,59.5,5.1,2.1,1.78,38.745743,-121.276572
255800,34375,44304,2605,1040,120,35.2,4.6,2.26,2.72,38.739349,-121.291688
304600,59092,67687,6706,2703,346,55,5.2,2.63,2.86,38.746985,-121.304787
362000,74017,88233,6210,2585,216,60.3,5.6,2.92,2.16,38.763379,-121.277817
358500,97538,105879,3901,1401,28,76.5,6.8,3.18,3.76,38.782005,-121.296797
342300,93472,97311,7431,2588,96,71.1,6.4,2.99,2.96,38.757635,-121.347631
349100,83138,77661,2135,1052,114,54.7,4.9,2.57,1.92,38.765871,-121.318413
324800,84247,93028,7632,2631,143,73.6,6.4,2.75,3.39,38.756813,-121.323801
359600,53475,69124,1771,1160,13,93.1,5.4,1.53,1.71,38.785531,-121.351554
348500,46817,65931,3493,2321,92,91.2,5.1,1.57,1.67,38.776057,-121.347177
417600,94821,102969,3355,1212,50,56.3,6.6,3.37,2.83,38.776849,-121.323807
414000,102292,112906,5719,1830,128,79.8,6.8,3.46,2.96,38.782395,-121.335099
273200,50244,61896,2962,1148,36,61.6,5.6,2.62,2.97,38.755288,-121.299296
269000,47432,64925,4754,2252,72,44,4.2,2.38,2,38.764193,-121.304631
243400,59417,67907,3797,1511,65,70.4,5.4,2.68,2.84,38.7924,-121.23492
360800,88472,97330,2230,940,59,86.5,6.5,2.39,2.46,38.794959,-121.252459
212100,45369,54865,2668,1346,196,63.8,4.7,2.28,2.06,38.780181,-121.237867
523500,103618,109298,5012,1843,70,76,7.2,3,1.76,38.780189,-121.215226
464500,96500,120440,3463,1373,87,94.1,7,2.61,3.75,38.829804,-121.24165
418400,99444,105422,7397,2878,0,87,6.8,2.8,3.17,38.814159,-121.247016
237500,61364,74887,2686,1046,0,68.5,5.8,2.15,3.21,38.787255,-121.260846
272700,60571,65604,3204,1469,0,41.8,4.9,2.42,2.05,38.779494,-121.254075
415800,42588,57553,2641,1303,67,17.7,3.7,3.27,1.68,38.809286,-121.272752
322600,68500,84342,5142,2151,99,51.2,5.5,2.97,2.05,38.803654,-121.262271
330700,76838,91030,6536,2340,94,77.7,6.2,2.77,2.63,38.823527,-121.199689
533900,100750,130591,2482,921,0,92,6.8,2.96,2.28,38.859495,-121.182212
451100,70256,85892,5307,1997,17,83.2,6,2.91,3.24,38.947271,-121.273116
406300,111525,112710,9552,2876,189,83.9,6.7,3.45,2.57,38.825374,-121.273178
371200,95640,102090,8762,2585,78,86.1,6.8,3.08,2.54,38.792918,-121.374206
235100,52614,64473,2569,949,173,72.4,5.6,2.71,3.92,38.895487,-121.284686
194700,39297,50326,7000,2314,97,50.8,5,2.81,3.01,38.889506,-121.305411
404700,55669,75363,5979,2332,191,74.2,5.5,2.44,2.34,38.923477,-121.105261
363800,77226,88903,3554,1587,72,73.3,6.1,2.37,2.56,38.922736,-121.065587
321500,35180,50095,4549,2054,151,42,4.5,2.24,2.44,38.950524,-121.107913
505600,64138,89546,3161,1374,64,89.1,6.6,2.32,2.85,38.963194,-121.154877
492100,87381,116431,4522,1891,155,91.1,6.7,2.52,2.84,38.978863,-121.071276
309800,51739,68042,5676,2646,236,75.1,5.5,2.12,3.35,38.940547,-121.075936
391400,72647,77057,3060,1260,148,82.5,5.8,2.57,2.46,39.01776,-120.986108
408200,76382,92576,4454,1834,170,81.8,6.1,2.68,2.06,39.004078,-121.025105
342200,66513,76823,6481,2673,165,75,5.4,2.46,2.31,39.079114,-120.961663
650100,111480,169322,1686,2480,1927,96.7,4.6,2.81,3.17,39.298128,-120.161811
336900,67533,74980,2934,1491,420,85,4.4,2.35,2.33,39.177013,-120.854585
726600,67522,66806,1736,2624,2113,55.8,4.6,1.91,2.11,39.221671,-120.258372
554600,85375,83477,961,1398,999,69.4,4.4,2.12,1.55,39.13729,-120.171022
632400,61976,69878,909,1260,869,51.9,4.5,2.22,3.02,39.163443,-120.149537
536500,69948,94789,709,1557,1184,70.2,4.6,2.21,1.74,39.078049,-120.155016
532300,89348,118087,4396,1813,169,68.8,6.4,2.88,2.07,38.764658,-121.237608
455800,86514,113419,3879,1449,240,82.1,7.8,3.36,2.62,38.73708,-121.35329
386700,78365,87570,4840,2096,147,52.7,5.5,2.85,2.58,38.776821,-121.284912
378800,103312,105760,4320,1600,174,67.5,6.1,2.92,2.54,38.791435,-121.278306
385200,86040,93381,5175,1898,94,56.1,5.7,3.24,2.37,38.799981,-121.278257
388800,117056,121390,3191,937,0,94.5,7,3.2,2.92,38.803222,-121.288798
405400,106599,119004,6491,1864,183,83.2,7.2,3.22,3.64,38.802061,-121.33277
333700,108305,105730,4960,1453,31,79.7,7.7,2.99,3.05,38.865387,-121.310324
325800,94188,105033,4365,1331,75,85.4,7.5,3.16,2.91,38.877488,-121.309305
282700,99571,97070,4479,1317,33,87.4,6.8,3.07,3.33,38.903214,-121.3251
422000,106080,128114,5159,1548,66,83.5,7.8,3.32,3.51,38.847334,-121.266251
444600,64797,80572,4565,2588,88,89.1,5.4,1.75,1.72,38.856834,-121.264148
460200,68144,74740,3347,2034,102,88.5,5.5,1.76,1.88,38.870244,-121.281671
418100,60045,70608,3257,1896,93,86.9,5.3,1.62,2.06,38.874789,-121.264856
352800,83641,84046,3100,985,44,80.6,6.6,3.31,3.36,38.890552,-121.322079
228300,51415,53232,5500,2708,268,64.8,4.9,2.02,2.39,39.937887,-120.921539
442900,58750,75108,1844,2048,1296,96,5.5,1.94,1.4,39.763751,-120.609758
306400,46613,64431,1161,1294,716,74.6,4.9,1.95,1.89,39.913948,-120.898811
206700,38972,58127,4760,3035,829,68.1,5.2,2.27,2.67,39.810681,-120.430724
199200,30417,42790,2785,1763,453,64.6,4.9,1.91,2.41,40.119237,-120.9202
237300,27778,33999,2146,1219,395,63.1,5.1,1.64,2.61,40.303986,-121.230722
416800,69716,89394,1811,3434,2110,74.8,5.4,1.85,1.54,40.260037,-121.129011
203200,65577,58809,1226,370,58,64.4,5.6,4.44,2.5,33.996935,-117.352443
194800,51385,56401,2105,722,175,41.7,4.5,3.86,4.19,33.99173,-117.36578
235000,50380,54112,6922,1942,119,58,5.3,3.99,4.18,34.004768,-117.365969
358200,55127,71871,4633,2057,263,45.5,4.6,2.58,2.43,33.986269,-117.382435
229200,28967,43289,4497,1769,454,14.5,3.3,2.58,2.58,33.982537,-117.37429
313300,35161,48795,6414,1737,155,48.5,4.7,4.38,3.5,33.971224,-117.3662
277400,40712,50089,5095,1496,155,55.7,4.9,3.5,4.18,33.970305,-117.354267
304300,36354,40093,2220,540,76,44.4,4.4,4.19,4.42,33.979079,-117.358878
255800,29674,35959,3812,1215,280,15.7,3.5,3.46,3.61,33.979388,-117.352893
646900,156182,201034,5249,1823,130,94.6,8,3.01,2.9,33.921667,-117.363377
410700,104702,154848,3285,1330,10,90.6,7.1,2.58,3.04,33.937974,-117.37228
458900,115236,124083,2978,1116,63,95,7,2.82,2.87,33.955113,-117.359868
300700,62426,82897,5598,2325,16,63.1,5.6,2.47,2.81,33.966752,-117.388152
272900,48913,62309,6973,2613,189,69.4,5.3,3.2,2.32,33.963205,-117.409623
216400,58415,66393,3308,895,49,87.2,5.6,3.91,6.44,33.956886,-117.433152
248000,37736,53280,5622,2379,189,48.7,4.6,2.94,1.91,33.951686,-117.40887
182900,41250,48804,4559,1246,56,70.8,5.3,3.35,4.14,33.951869,-117.423675
299400,52539,66004,4584,1726,125,64.7,5.2,2.78,3.11,33.955445,-117.390327
269700,62698,71718,6878,2303,167,73,5.8,2.83,3.13,33.941519,-117.383435
249500,44712,52328,2651,718,113,72.9,5.3,4.82,4.37,33.932181,-117.401714
231900,50893,69719,6702,2323,223,46.9,5,3.49,2.98,33.937105,-117.410703
223300,55506,56923,6518,2438,214,45.8,4.6,3.05,2.55,33.940916,-117.420728
237300,49219,63073,7387,2038,260,47.8,4.8,3.61,2.84,33.930377,-117.430918
232700,52222,63297,8020,2672,144,68.6,5.3,3.58,2.55,33.940373,-117.443869
233200,46351,52299,4390,1345,141,47.2,5,4.5,3.36,33.916101,-117.446669
245600,49699,58805,5314,1721,44,47.3,4.8,3.55,3.61,33.927077,-117.448634
736600,49232,95429,2943,880,63,70.9,6,3.22,4.34,33.919988,-117.398773
265300,81507,96168,2387,778,39,84.7,6,3.4,3.95,33.90171,-117.446425
266100,66619,80927,3611,1203,23,68.2,6,4.38,2.47,33.909276,-117.436965
230200,54046,64032,5284,1886,11,52.2,5.3,3.3,2.74,33.918666,-117.423284
287500,46301,54005,4287,982,53,58.6,5.3,4.77,4.8,34.014308,-117.402776
284900,64792,83289,4630,1144,35,73.3,5.9,3.83,4.16,34.017786,-117.427127
241600,57143,69607,5897,1897,97,61.5,5.4,3.71,4.31,33.985233,-117.418461
170500,58480,68529,2821,941,32,76.6,5.4,3.5,4.53,33.98102,-117.437624
78700,29303,41174,3626,990,27,41.7,4.4,3.91,5.21,33.993777,-117.40642
156900,33533,40470,3716,887,39,51.4,4.4,4.61,3.93,33.998439,-117.401574
171000,37328,55230,7857,2300,24,60.6,4.7,3.93,3.46,34.000265,-117.421217
304500,81418,97652,7308,2216,35,85.7,6.8,3.61,3.73,33.994759,-117.441402
279400,49969,71020,3243,876,71,75.7,5.4,4.11,3.39,34.00817,-117.450213
267300,62879,63691,4224,1102,10,69.5,5.6,3.59,3.04,33.976395,-117.483391
353200,67694,63340,5801,1468,223,62.6,5.5,3.98,3.91,33.992851,-117.496061
251500,64384,71391,3309,938,132,83,5.4,3.55,3.52,33.97371,-117.457064
359000,69770,77769,5353,1755,134,77,6.7,3.19,3.48,33.987496,-117.463489
209500,54332,61773,6878,1899,40,77.1,5.7,3.81,3.28,34.008726,-117.475781
266300,51296,57559,6202,1579,149,56.9,4.7,4.28,4.3,34.018738,-117.493799
217200,30877,40339,3876,1938,152,28.3,4.1,4.07,1.61,34.026331,-117.511339
280500,35625,53556,2376,670,79,64.3,5.4,4.09,3.56,33.970531,-117.530735
376400,86817,91260,5541,1559,68,90.9,6.7,3.7,5.08,33.985985,-117.531545
226600,52567,58311,3543,796,59,52.2,5.1,3.7,4.06,33.99631,-117.514229
